Isolate,Lineage
ERR12861475,SC5
ERR12861487,SC5
ERR12861413,SC5
ERR12861839,SC5
ERR12861422,SC5
ERR12861477,SC5
ERR12861550,SC5
ERR12861386,SC5
ERR12861540,SC5
ERR12861505,SC5
SRR13556499,SC1
ERR12861380,SC1
ERR12861651,SC1
ERR13148602,SC1
ERR12861519,SC1
ERR12861802,SC1
ERR13148484,SC1
ERR12861695,SC1
ERR13148509,SC1
ERR12861698,SC1
DRR286137,MahEA2
DRR286151,MahEA2
DRR286155,MahEA2
DRR286147,MahEA2
DRR286149,MahEA2
DRR286135,MahEA2
DRR286131,MahEA2
DRR286150,MahEA2
ERR13148488,MahEA2
DRR286143,MahEA2
ERR12861491,SC2
ERR12861891,SC2
ERR12861377,SC2
ERR12861682,SC2
SRR13556503,SC2
ERR12861544,SC2
ERR12861574,SC2
ERR12861904,SC2
SRR7800685,SC2
SRR13556488,SC2
SRR7800605,SC3
ERR12861517,SC3
ERR12861874,SC3
SRR7800616,SC3
SRR24927439,SC3
ERR12861710,SC3
SRR7800740,SC3
SRR24927425,SC3
ERR12861758,SC3
SRR7800521,SC3
ERR12861639,SC6
ERR12861554,SC6
ERR12861633,SC6
ERR12861595,SC6
ERR12861552,SC6
ERR12861708,SC6
ERR12861903,SC6
ERR12861624,SC6
ERR12861620,SC6
ERR12861612,SC6
ERR12861911,SC4
ERR12861379,SC4
ERR12861447,SC4
ERR12861934,SC4
SRR7800586,SC4
ERR13148615,SC4
ERR12861948,SC4
SRR13556511,SC4
ERR12861400,SC4
ERR12861626,SC4
DRR286159,MahEA1
DRR286232,MahEA1
DRR286186,MahEA1
DRR286192,MahEA1
DRR286234,MahEA1
DRR286166,MahEA1
DRR286206,MahEA1
DRR286237,MahEA1
DRR286177,MahEA1
DRR286162,MahEA1
ERR13148485,SC7
ERR12861733,SC7
ERR12861783,SC7
ERR12861949,SC7
SRR7800523,SC7
SRR7800566,SC7
SRR7800568,SC7
SRR7800442,SC7
ERR13148621,SC7
SRR7800686,SC7
SRR10120005,SC8
SRR10112072,SC8
ERR12861843,SC8
SRR10112073,SC8
SRR10120009,SC8
SRR10112078,SC8
SRR10112134,SC8
SRR10112138,SC8
ERR12861631,SC8
SRR10112133,SC8
