Subsp,SNP_density
MAH,30
MAH,45
MAH,65
MAH,73
MAH,77
MAH,74
MAH,71
MAH,53
MAH,53
MAH,40
MAH,40
MAH,64
MAH,78
MAH,78
MAH,64
MAH,65
MAH,68
MAH,39
MAH,47
MAH,50
MAH,51
MAH,41
MAH,37
MAH,55
MAH,64
MAH,53
MAH,45
MAH,49
MAH,46
MAH,52
MAH,48
MAH,42
MAH,44
MAH,39
MAH,33
MAH,43
MAH,42
MAH,44
MAH,64
MAH,57
MAH,73
MAH,81
MAH,88
MAH,89
MAH,82
MAH,72
MAH,65
MAH,74
MAH,123
MAH,93
MAH,67
MAH,81
MAH,69
MAH,67
MAH,77
MAH,77
MAH,69
MAH,78
MAH,82
MAH,73
MAH,68
MAH,62
MAH,64
MAH,69
MAH,84
MAH,86
MAH,75
MAH,65
MAH,42
MAH,60
MAH,63
MAH,69
MAH,62
MAH,60
MAH,66
MAH,71
MAH,70
MAH,70
MAH,62
MAH,69
MAH,59
MAH,60
MAH,35
MAH,40
MAH,42
MAH,35
MAH,28
MAH,25
MAH,40
MAH,47
MAH,56
MAH,54
MAH,49
MAH,47
MAH,48
MAH,51
MAH,56
MAH,66
MAH,61
MAH,58
MAH,54
MAH,54
MAH,70
MAH,81
MAH,60
MAH,64
MAH,68
MAH,88
MAH,72
MAH,74
MAH,66
MAH,66
MAH,66
MAH,74
MAH,52
MAH,63
MAH,66
MAH,45
MAH,38
MAH,46
MAH,52
MAH,64
MAH,62
MAH,62
MAH,58
MAH,54
MAH,48
MAH,61
MAH,66
MAH,66
MAH,75
MAH,78
MAH,89
MAH,89
MAH,87
MAH,87
MAH,97
MAH,88
MAH,66
MAH,59
MAH,56
MAH,61
MAH,57
MAH,45
MAH,33
MAH,30
MAH,30
MAH,31
MAH,34
MAH,45
MAH,39
MAH,39
MAH,39
MAH,44
MAH,43
MAH,51
MAH,48
MAH,30
MAH,28
MAH,21
MAH,27
MAH,26
MAH,24
MAH,21
MAH,30
MAH,33
MAH,28
MAH,40
MAH,44
MAH,40
MAH,41
MAH,49
MAH,57
MAH,50
MAH,40
MAH,45
MAH,39
MAH,36
MAH,37
MAH,47
MAH,47
MAH,38
MAH,39
MAH,39
MAH,38
MAH,43
MAH,46
MAH,48
MAH,53
MAH,58
MAH,58
MAH,46
MAH,49
MAH,37
MAH,42
MAH,39
MAH,47
MAH,54
MAH,39
MAH,38
MAH,45
MAH,32
MAH,36
MAH,40
MAH,40
MAH,33
MAH,26
MAH,32
MAH,35
MAH,44
MAH,53
MAH,63
MAH,72
MAH,67
MAH,73
MAH,69
MAH,68
MAH,75
MAH,82
MAH,71
MAH,74
MAH,72
MAH,63
MAH,57
MAH,39
MAH,35
MAH,33
MAH,32
MAH,37
MAH,40
MAH,36
MAH,30
MAH,28
MAH,32
MAH,30
MAH,51
MAH,44
MAH,37
MAH,40
MAH,63
MAH,63
MAH,67
MAH,54
MAH,61
MAH,57
MAH,62
MAH,63
MAH,52
MAH,85
MAH,87
MAH,80
MAH,82
MAH,78
MAH,65
MAH,74
MAH,66
MAH,82
MAH,77
