Pan-genome,Lineages,Total number of genes
Core genes,SC5,4073
Core genes,SC1,4002
Core genes,MahEastAsia2,4275
Core genes,SC2,4269
Core genes,SC3,4323
Core genes,SC6,4648
Core genes,SC4,4292
Core genes,MahEastAsia1,4284
Core genes,SC7,4031
Core genes,SC8,4544
Accessory genes,SC5,2048
Accessory genes,SC1,3555
Accessory genes,MahEastAsia2,1826
Accessory genes,SC2,3303
Accessory genes,SC3,3411
Accessory genes,SC6,924
Accessory genes,SC4,2150
Accessory genes,MahEastAsia1,2532
Accessory genes,SC7,2940
Accessory genes,SC8,1263
