StrainName,Start,End,DonorLineage
ERR13148509,962,1897,SC5
ERR13148520,1542,1804,SC5
ERR13148594,1552,1753,SC5
ERR12861476,1783,1861,SC1
DRR286170,1676,2058,MahEA2
DRR286214,1669,2058,MahEA2
SRR13556497,2377,2892,SC2
SRR13556498,2377,2892,SC2
SRR13556502,2590,2892,SC2
SRR7800447,1754,2629,SC2
SRR7800648,1754,2629,SC2
SRR7800651,1754,2629,SC2
DRR286160,1805,1836,SC3
ERR12861695,1594,1878,SC3
ERR13148484,1015,1938,SC3
ERR13148520,1805,1878,SC3
ERR13148594,1754,1878,SC3
SRR13556500,1462,1782,SC3
SRR7800447,1462,1753,SC3
SRR7800567,1462,1782,SC3
SRR7800648,1462,1753,SC3
SRR7800651,1462,1753,SC3
SRR24927441,2488,2892,SC6
ERR12861413,1,1938,SC4
ERR12861517,1705,2880,SC4
ERR12861546,1,1938,SC4
ERR12861550,1,1938,SC4
ERR12861585,923,2880,SC4
ERR12861621,1,1938,SC4
ERR12861657,1705,2880,SC4
ERR12861670,1705,2880,SC4
ERR12861955,1,1938,SC4
ERR13148548,2791,2892,SC4
SRR13556500,1783,2892,SC4
SRR7800567,1783,2892,SC4
SRR7800663,1800,2880,SC4
SRR7800740,1800,2880,SC4
ERR12861383,1669,2892,MahEA1
ERR12861698,1666,2892,MahEA1
ERR12861791,1657,2892,MahEA1
ERR12861804,1657,2892,MahEA1
DRR286170,2059,2892,SC7
DRR286191,2032,2892,SC7
DRR286214,2059,2892,SC7
ERR12861364,1,1551,SC7
ERR12861370,1,1551,SC7
ERR12861373,1,1551,SC7
ERR12861376,1,1551,SC7
ERR12861385,1,1551,SC7
ERR12861394,1,1551,SC7
ERR12861396,1,1551,SC7
ERR12861414,1,1551,SC7
ERR12861422,1,1551,SC7
ERR12861433,1,1551,SC7
ERR12861436,1,1551,SC7
ERR12861474,1,1551,SC7
ERR12861477,1,1541,SC7
ERR12861482,1,1541,SC7
ERR12861486,1,1541,SC7
ERR12861487,1,1551,SC7
ERR12861490,1,1551,SC7
ERR12861492,1,1551,SC7
ERR12861494,1,1551,SC7
ERR12861497,1,1551,SC7
ERR12861499,1,1541,SC7
ERR12861500,1,1541,SC7
ERR12861505,1,1551,SC7
ERR12861509,1,1551,SC7
ERR12861512,1,1551,SC7
ERR12861516,1,1541,SC7
ERR12861525,1,1541,SC7
ERR12861540,1,1541,SC7
ERR12861608,1,1541,SC7
ERR12861623,1,1541,SC7
ERR12861652,1,1541,SC7
ERR12861658,1,1541,SC7
ERR12861669,1,1551,SC7
ERR12861673,1,1541,SC7
ERR12861677,1,1541,SC7
ERR12861678,1,1541,SC7
ERR12861681,1,1551,SC7
ERR12861684,1,1541,SC7
ERR12861685,1,1551,SC7
ERR12861703,1,1551,SC7
ERR12861715,1,1551,SC7
ERR12861774,1,1551,SC7
ERR12861830,1,1551,SC7
ERR12861839,1,1551,SC7
ERR12861841,1,1551,SC7
ERR12861855,1,1551,SC7
ERR12861896,1,1551,SC7
SRR7800738,1,1551,SC7
A5,1253,2806,SC8
ERR12861401,1542,2285,SC8
ERR12861651,1253,2804,SC8
ERR12861725,1394,2892,SC8
ERR13148484,1939,2804,SC8
ERR13148509,2168,2804,SC8
ERR13148526,1765,2817,SC8
ERR13148602,1197,2801,SC8
SRR13556499,1197,2804,SC8
SRR7800571,1394,2892,SC8
SRR7800652,1805,2892,SC8
