StrainName	Start	End	DonorLineage
SRR13556499	1729188	1731993	SC5
SRR13556499	2499343	2500316	SC5
SRR13556499	2940000	2943186	SC5
SRR13556499	3052202	3053530	SC5
SRR13556499	3129376	3130139	SC5
SRR13556499	4135145	4139459	SC5
ERR12861491	246254	247305	SC5
ERR12861491	564563	566200	SC5
ERR12861491	588642	590621	SC5
ERR12861491	836299	837375	SC5
ERR12861491	1149448	1150303	SC5
ERR12861491	1458283	1459116	SC5
ERR12861491	1552218	1552554	SC5
ERR12861491	1561288	1562722	SC5
ERR12861491	3723443	3724897	SC5
DRR286159	3032	3837	SC5
DRR286159	24058	24698	SC5
DRR286159	145740	149260	SC5
DRR286159	175402	176229	SC5
DRR286159	294304	296285	SC5
DRR286159	299776	301916	SC5
DRR286159	314681	319937	SC5
DRR286159	352651	356868	SC5
DRR286159	526426	528833	SC5
DRR286159	547174	549299	SC5
DRR286159	662381	665528	SC5
DRR286159	691311	691873	SC5
DRR286159	709090	711918	SC5
DRR286159	951137	955274	SC5
DRR286159	965123	968271	SC5
DRR286159	971659	975739	SC5
DRR286159	1139446	1139672	SC5
DRR286159	1191042	1192008	SC5
DRR286159	1334521	1336460	SC5
DRR286159	1340410	1341826	SC5
DRR286159	1477529	1479235	SC5
DRR286159	1502457	1505144	SC5
DRR286159	1543095	1544877	SC5
DRR286159	1643642	1645011	SC5
DRR286159	1686934	1694722	SC5
DRR286159	1751969	1753466	SC5
DRR286159	1756050	1758861	SC5
DRR286159	1761470	1768927	SC5
DRR286159	1920543	1926025	SC5
DRR286159	1964608	1967972	SC5
DRR286159	2074872	2076717	SC5
DRR286159	2230760	2233818	SC5
DRR286159	2336928	2339592	SC5
DRR286159	2346406	2353503	SC5
DRR286159	2372088	2374736	SC5
DRR286159	2595621	2596211	SC5
DRR286159	2597135	2598496	SC5
DRR286159	2732566	2735853	SC5
DRR286159	2843193	2844643	SC5
DRR286159	2864290	2865466	SC5
DRR286159	2971228	2972465	SC5
DRR286159	3157987	3160662	SC5
DRR286159	3178812	3181448	SC5
DRR286159	3237782	3240965	SC5
DRR286159	3475481	3476329	SC5
DRR286159	3570330	3573248	SC5
DRR286159	3735194	3735431	SC5
DRR286159	3777577	3780119	SC5
DRR286159	3881351	3882383	SC5
DRR286159	4003300	4004410	SC5
DRR286159	4110159	4111224	SC5
DRR286159	4216759	4227244	SC5
DRR286159	4232671	4238720	SC5
SRR10120005	753608	754358	SC5
SRR10120005	1008309	1009417	SC5
SRR10120005	1145709	1146286	SC5
SRR10120005	1335158	1336383	SC5
SRR10120005	2373695	2374801	SC5
SRR10120005	2408997	2409427	SC5
SRR10120005	2646330	2647072	SC5
SRR10120005	2876723	2877742	SC5
SRR10120005	3793235	3794468	SC5
SRR10120005	3899103	3900724	SC5
DRR286232	146722	148183	SC5
DRR286232	235063	235901	SC5
DRR286232	298364	302105	SC5
DRR286232	314681	317937	SC5
DRR286232	324642	326177	SC5
DRR286232	421280	424657	SC5
DRR286232	525956	530024	SC5
DRR286232	543624	545610	SC5
DRR286232	605990	607284	SC5
DRR286232	709414	711618	SC5
DRR286232	729108	730411	SC5
DRR286232	965123	968287	SC5
DRR286232	968638	975787	SC5
DRR286232	1157612	1159986	SC5
DRR286232	1334481	1336460	SC5
DRR286232	1340410	1342629	SC5
DRR286232	1502049	1505831	SC5
DRR286232	1543095	1545049	SC5
DRR286232	1736203	1740508	SC5
DRR286232	1750056	1751968	SC5
DRR286232	1935663	1936797	SC5
DRR286232	2234779	2237928	SC5
DRR286232	2346406	2350039	SC5
DRR286232	2373297	2374873	SC5
DRR286232	2612956	2617608	SC5
DRR286232	2619380	2620892	SC5
DRR286232	2732566	2735337	SC5
DRR286232	2764646	2766291	SC5
DRR286232	2971228	2972465	SC5
DRR286232	3178812	3181448	SC5
DRR286232	3261568	3268104	SC5
DRR286232	3475481	3476329	SC5
DRR286232	3664965	3666969	SC5
DRR286232	3823391	3824359	SC5
DRR286232	3898827	3900497	SC5
DRR286232	3902859	3904873	SC5
DRR286232	4114168	4114538	SC5
DRR286232	4224324	4227244	SC5
DRR286232	4232667	4238720	SC5
ERR13148485	1031404	1032059	SC5
ERR13148485	1124372	1125695	SC5
ERR13148485	1126087	1126387	SC5
ERR13148485	1569339	1569755	SC5
ERR13148485	1599923	1601398	SC5
ERR13148485	1710627	1711220	SC5
ERR13148485	2787644	2789021	SC5
ERR13148485	3670949	3672614	SC5
DRR286186	1651027	1651971	SC5
DRR286186	2127631	2128456	SC5
DRR286186	2403326	2405111	SC5
DRR286186	2525227	2526478	SC5
DRR286186	3044357	3045379	SC5
DRR286186	3059290	3063155	SC5
DRR286186	3065542	3069064	SC5
DRR286186	3237420	3240888	SC5
DRR286186	3242107	3243856	SC5
DRR286186	3287385	3288930	SC5
DRR286186	4237687	4238720	SC5
ERR12861554	371019	371160	SC5
ERR12861554	376454	376746	SC5
ERR12861554	390603	394216	SC5
ERR12861554	434044	434843	SC5
ERR12861554	574859	576342	SC5
ERR12861554	691959	694552	SC5
ERR12861554	773115	773525	SC5
ERR12861554	798859	801461	SC5
ERR12861554	849200	852410	SC5
ERR12861554	1021206	1023102	SC5
ERR12861554	1176550	1178745	SC5
ERR12861554	1202437	1204128	SC5
ERR12861554	1266348	1267622	SC5
ERR12861554	1508127	1509955	SC5
ERR12861554	1590939	1594174	SC5
ERR12861554	1596046	1600845	SC5
ERR12861554	1679451	1680240	SC5
ERR12861554	1702319	1705616	SC5
ERR12861554	1814219	1816877	SC5
ERR12861554	1946270	1946312	SC5
ERR12861554	1961318	1962707	SC5
ERR12861554	1964758	1966553	SC5
ERR12861554	2012423	2012716	SC5
ERR12861554	2044057	2046166	SC5
ERR12861554	2219560	2221510	SC5
ERR12861554	2244954	2246349	SC5
ERR12861554	2309363	2311811	SC5
ERR12861554	2438587	2440119	SC5
ERR12861554	2577681	2578529	SC5
ERR12861554	2657946	2658541	SC5
ERR12861554	2775659	2779624	SC5
ERR12861554	2886062	2887961	SC5
ERR12861554	2888906	2889888	SC5
ERR12861554	2902760	2904460	SC5
ERR12861554	3032110	3032943	SC5
ERR12861554	3094665	3099386	SC5
ERR12861554	3148028	3150700	SC5
ERR12861554	3193288	3195642	SC5
ERR12861554	3199292	3199622	SC5
ERR12861554	3280721	3285751	SC5
ERR12861554	3367201	3367876	SC5
ERR12861554	3431542	3432463	SC5
ERR12861554	3611974	3612775	SC5
ERR12861554	3616215	3619088	SC5
ERR12861554	3627368	3629528	SC5
ERR12861554	3650455	3654124	SC5
ERR12861554	3701044	3702522	SC5
ERR12861554	3729846	3732087	SC5
ERR12861554	3740365	3741461	SC5
ERR12861554	3758613	3762023	SC5
ERR12861554	3833274	3833840	SC5
ERR12861554	3886062	3888240	SC5
ERR12861554	3908342	3909107	SC5
ERR12861554	3939735	3942419	SC5
ERR12861554	3983495	3985079	SC5
ERR12861554	3989315	3992157	SC5
ERR12861554	4085538	4088304	SC5
ERR12861554	4144727	4188065	SC5
ERR12861911	505860	509250	SC5
ERR12861911	746807	749028	SC5
ERR12861911	886949	888064	SC5
ERR12861911	1841786	1842699	SC5
ERR12861911	2364033	2370001	SC5
ERR12861911	2607391	2610418	SC5
ERR12861911	2835145	2835716	SC5
ERR12861911	2862923	2865466	SC5
ERR12861911	2956663	2962180	SC5
ERR12861911	3432773	3434287	SC5
ERR12861911	3779347	3786270	SC5
ERR12861911	3804922	3805969	SC5
ERR12861911	3888241	3890625	SC5
ERR12861911	4046348	4050202	SC5
ERR12861911	4085820	4087811	SC5
ERR12861843	112458	114221	SC5
ERR12861843	1168438	1169889	SC5
ERR12861843	2328395	2329422	SC5
ERR12861843	2627584	2628265	SC5
ERR12861843	2870947	2872429	SC5
ERR12861843	3065713	3068916	SC5
ERR12861843	3432803	3434951	SC5
