"StrainName","Start","End","DonorLineage","length"
"SRR13556499",87352,90730,"9",3378
"SRR13556499",90731,92685,"10",1954
"SRR13556499",92686,93777,"3",1091
"SRR13556499",93778,95037,"10",1259
"SRR13556499",95038,96471,"5",1433
"SRR13556499",97338,97907,"5",569
"SRR13556499",97908,99221,"8",1313
"SRR13556499",99222,104229,"5",5007
"SRR13556499",104230,105871,"3",1641
"SRR13556499",105872,108518,"5",2646
"SRR13556499",282933,284368,"10",1435
"SRR13556499",284369,284922,"6",553
"SRR13556499",284923,287753,"7",2830
"SRR13556499",287754,288582,"6",828
"SRR13556499",288583,289605,"3",1022
"SRR13556499",289606,293994,"5",4388
"SRR13556499",295045,300171,"5",5126
"SRR13556499",300172,300675,"9",503
"SRR13556499",300676,301916,"5",1240
"SRR13556499",301917,302912,"8",995
"SRR13556499",302913,303605,"3",692
"SRR13556499",303606,303651,"8",45
"SRR13556499",303652,304337,"5",685
"SRR13556499",304338,305025,"7",687
"SRR13556499",305026,306358,"5",1332
"SRR13556499",397731,399476,"10",1745
"SRR13556499",399477,400444,"3",967
"SRR13556499",400445,402060,"5",1615
"SRR13556499",402061,404820,"3",2759
"SRR13556499",404821,407411,"10",2590
"SRR13556499",407412,408767,"3",1355
"SRR13556499",409293,416218,"6",6925
"SRR13556499",688998,694505,"5",5507
"SRR13556499",833641,835862,"4",2221
"SRR13556499",835863,837123,"9",1260
"SRR13556499",837124,839721,"5",2597
"SRR13556499",894170,895170,"3",1000
"SRR13556499",895171,897593,"10",2422
"SRR13556499",897594,897936,"5",342
"SRR13556499",897937,898654,"10",717
"SRR13556499",898655,899796,"4",1141
"SRR13556499",899797,901429,"3",1632
"SRR13556499",963473,965122,"5",1649
"SRR13556499",965123,966066,"3",943
"SRR13556499",966067,967742,"6",1675
"SRR13556499",967743,967865,"4",122
"SRR13556499",967866,968305,"3",439
"SRR13556499",968306,969017,"4",711
"SRR13556499",970493,970984,"5",491
"SRR13556499",970985,972481,"3",1496
"SRR13556499",972482,974260,"7",1778
"SRR13556499",989152,991256,"4",2104
"SRR13556499",991257,993449,"7",2192
"SRR13556499",993450,994830,"6",1380
"SRR13556499",994831,999229,"3",4398
"SRR13556499",1046849,1050538,"5",3689
"SRR13556499",1050539,1051309,"10",770
"SRR13556499",1051310,1054685,"4",3375
"SRR13556499",1054686,1055889,"7",1203
"SRR13556499",1055890,1057297,"5",1407
"SRR13556499",1057298,1060276,"4",2978
"SRR13556499",1060277,1060705,"5",428
"SRR13556499",1060706,1063254,"7",2548
"SRR13556499",1101927,1102729,"4",802
"SRR13556499",1159354,1164115,"5",4761
"SRR13556499",1164116,1164280,"4",164
"SRR13556499",1164281,1164524,"5",243
"SRR13556499",1164525,1165827,"8",1302
"SRR13556499",1227314,1229622,"9",2308
"SRR13556499",1229623,1231997,"5",2374
"SRR13556499",1248573,1251119,"6",2546
"SRR13556499",1251403,1252466,"5",1063
"SRR13556499",1252467,1254634,"9",2167
"SRR13556499",1254921,1256169,"5",1248
"SRR13556499",1256170,1256413,"9",243
"SRR13556499",1256414,1257882,"8",1468
"SRR13556499",1290821,1292152,"3",1331
"SRR13556499",1292153,1297553,"5",5400
"SRR13556499",1298330,1299301,"10",971
"SRR13556499",1349359,1354239,"10",4880
"SRR13556499",1354240,1356481,"6",2241
"SRR13556499",1356482,1357602,"10",1120
"SRR13556499",1408690,1411731,"5",3041
"SRR13556499",1411732,1413503,"6",1771
"SRR13556499",1413504,1415179,"4",1675
"SRR13556499",1415180,1424911,"5",9731
"SRR13556499",1425176,1428344,"5",3168
"SRR13556499",1589520,1590829,"4",1309
"SRR13556499",1590830,1592231,"5",1401
"SRR13556499",1592232,1593125,"7",893
"SRR13556499",1593126,1595067,"4",1941
"SRR13556499",1595068,1596945,"5",1877
"SRR13556499",1597355,1597958,"7",603
"SRR13556499",1597959,1599800,"5",1841
